DateTime,Open,High,Low,Close,Volume
20171010 01:00:00.000,1.17485,1.17823,1.17478,1.17767,8792030000
20171010 02:00:00.000,1.17767,1.17814,1.17717,1.17718,4362775000
20171010 03:00:00.000,1.17717,1.17734,1.17667,1.17668,2689288000
20171010 04:00:00.000,1.17669,1.17736,1.17658,1.17705,3023682000
20171010 05:00:00.000,1.17704,1.17746,1.17677,1.17709,3257739000
20171010 06:00:00.000,1.17708,1.17889,1.17657,1.17776,9578991000
20171010 07:00:00.000,1.17775,1.17775,1.17622,1.17652,11986009000
20171010 08:00:00.000,1.17654,1.17859,1.17654,1.17784,10863174000
20171010 09:00:00.000,1.17785,1.18024,1.17747,1.18015,12999824000
20171010 10:00:00.000,1.18016,1.18072,1.17790,1.17817,13582259000
20171010 11:00:00.000,1.17817,1.17964,1.17735,1.17962,13409439000
20171010 12:00:00.000,1.17963,1.17976,1.17851,1.17871,14150757000
20171010 13:00:00.000,1.17870,1.18052,1.17822,1.18029,15026491000
20171010 14:00:00.000,1.18029,1.18182,1.18011,1.18175,18463432000
20171010 15:00:00.000,1.18175,1.18176,1.18029,1.18041,11215537000
20171010 16:00:00.000,1.18040,1.18047,1.17955,1.18025,10884237000
20171010 17:00:00.000,1.18028,1.18254,1.17957,1.18036,23553213000
20171010 18:00:00.000,1.18036,1.18116,1.18004,1.18036,9423791000
20171010 19:00:00.000,1.18037,1.18162,1.18023,1.18152,8494588000
20171010 20:00:00.000,1.18152,1.18176,1.18072,1.18076,2843075000
20171010 21:00:00.000,1.18075,1.18112,1.18067,1.18083,1698329000
20171010 22:00:00.000,1.18083,1.18118,1.18074,1.18107,2096902000
20171010 23:00:00.000,1.18106,1.18168,1.18097,1.18136,3052005000
20171011 00:00:00.000,1.18135,1.18276,1.18125,1.18194,6457266000
20171011 01:00:00.000,1.18195,1.18240,1.18109,1.18111,8325113000
20171011 02:00:00.000,1.18111,1.18113,1.17951,1.18024,10278782000
20171011 03:00:00.000,1.18023,1.18096,1.18003,1.18080,4141218000
20171011 04:00:00.000,1.18081,1.18205,1.18073,1.18139,5224628000
20171011 05:00:00.000,1.18139,1.18180,1.18124,1.18161,4761462000
20171011 06:00:00.000,1.18161,1.18342,1.18152,1.18217,12381214000
20171011 07:00:00.000,1.18217,1.18306,1.18142,1.18266,11759936000
20171011 08:00:00.000,1.18267,1.18449,1.18257,1.18271,12251607000
20171011 09:00:00.000,1.18272,1.18280,1.18014,1.18064,16171741000
20171011 10:00:00.000,1.18066,1.18229,1.18052,1.18227,9151296000
20171011 11:00:00.000,1.18227,1.18307,1.18182,1.18287,10694740000
20171011 12:00:00.000,1.18287,1.18466,1.18273,1.18440,14307960000
20171011 13:00:00.000,1.18439,1.18585,1.18370,1.18548,18674103000
20171011 14:00:00.000,1.18548,1.18561,1.18387,1.18444,13503251000
20171011 15:00:00.000,1.18444,1.18567,1.18422,1.18471,15209364000
20171011 16:00:00.000,1.18472,1.18508,1.18405,1.18456,6513596000
20171011 17:00:00.000,1.18457,1.18493,1.18410,1.18429,6431156000
20171011 18:00:00.000,1.18430,1.18588,1.18397,1.18538,20940185000
20171011 19:00:00.000,1.18539,1.18690,1.18487,1.18665,10871103000
20171011 20:00:00.000,1.18666,1.18685,1.18568,1.18581,4195733000
20171011 21:00:00.000,1.18590,1.18622,1.18572,1.18605,3078115000
